id,question,gold_answer,model_answer,semantic_similarity,bert_score,rouge_l_f1,eval_time_sec
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",DISTRIBUTOR AGREEMENT,,0.0,0.0,0.0,0.9242424964904785
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_0,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Distributor,The two or more parties who signed the contract,0.25522977113723755,0.7819115519523621,0.0,3.822946071624756
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_1,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois L.L.C.,"The two or more parties who signed the contract

### Related Questions

    - ### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

### Please summarize the essence of the following legal text to the best of your ability.Keep the essence, but summarize it in a way that is easier to understand.

## Join for free!

Cookies help us deliver our site. By continuing to browse the site you are agreeing to our use of cookies. Find out more.",-0.013280019164085388,0.7615209221839905,0.03278688347218499,41.753456354141235
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_2,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois LLC,The two or more parties who signed the contract,0.15692965686321259,0.7862154245376587,0.0,3.022266149520874
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_3,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Company,The two or more parties who signed the contract.,0.3276323676109314,0.8126152157783508,0.0,3.151690721511841
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_4,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City Corp.,The two or more parties who signed the contract,0.2797318696975708,0.8114110231399536,0.0,3.0237772464752197
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Agreement Date_0,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","7th day of September, 1999.",,0.0,0.0,0.0,0.1291036605834961
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Effective Date_0,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","Unless  earlier   terminated   otherwise  provided                   therein,  this  Agreement,  subject to the  commencement  date                   established  in Section 1.3,  shall be effective  immediately.",,0.0,0.0,0.0,0.13260102272033691
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Effective Date_1,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.",,0.0,0.0,0.0,0.13225698471069336
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Expiration Date_0,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.","10 years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the first order of Products under this Agreement.",0.8309205770492554,0.7583574056625366,0.5714285664806331,5.332751989364624
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Renewal Term_0,"Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.","If Distributor                            complies with all of the terms of this Agreement, the                            Agreement  shall be  renewable on an annual basis for                            one (1) year terms for up to  another  ten (10) years                            on the same terms and conditions as set forth herein.",The renewal term is for up to another ten (10) years on the same terms and conditions as set forth herein. All renewals of this Agreement shall be on the same terms and conditions as are set forth herein.,0.7317682504653931,0.7681028842926025,0.6874999950439453,6.846541166305542
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Notice Period To Terminate Renewal_0,"Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",,,1.0,1.0,1.0,0.14227986335754395
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Governing Law_0,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?",This Agreement is to be construed according to the laws          of the State of Illinois.,,0.0,0.0,0.0,0.13594961166381836
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Most Favored Nation_0,"Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",,,1.0,1.0,1.0,0.13441729545593262
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Non-Compete_0,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?",,,1.0,1.0,1.0,0.1279904842376709
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Exclusivity_0,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","The Company appoints the Distributor as an  exclusive  distributor  of Products in the Market,  subject to the terms and conditions of this Agreement.",,0.0,0.0,0.0,0.135284423828125
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Exclusivity_1,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Company  hereby   appoints                            Distributor as Company's exclusive distributor within                            the Market and grants to  Distributor  the  exclusive                            right  to sell and  distribute  Products  within  the                            Market,   and   Distributor   hereby   accepts   such                            appointment  and such grant,  in accordance  with the                            terms and conditions of this  Agreement.",,0.0,0.0,0.0,0.1306145191192627
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Exclusivity_2,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",The  Distributor  shall  not order or                   purchase Products from any source other than the Company.,,0.0,0.0,0.0,0.1327378749847412
