Retriever,Model,Exact Match,F1,Partial F1,ROUGE-L,BERTScore,Semantic Similarity,Avg Time,Avg Confidence
tfidf,jasu_legalbert,0.0125,0.1669709694528077,0.17229630774833452,0.16743094609493608,0.8327769041061401,0.3963092098905084,0.08998076617717743,0.17618705726757375
tfidf,nlpaueb_legalbert,0.0,0.0936907808064417,0.10880956066253343,0.08367157309793767,0.8172490000724792,0.26532532350198984,0.0914422278602918,0.0014022575468591943
tfidf,atharvamundada_bertlarge_legal,0.020833333333333332,0.20100259163845943,0.20991859106206648,0.19972577894163868,0.8414192795753479,0.4437054111699884,0.30874129037062326,0.32554207485295733
bm25,jasu_legalbert,0.0125,0.17182431798731113,0.174280622677046,0.16999482781708664,0.83296799659729,0.3940099745872431,0.08482000082731248,0.1773341936398841
bm25,nlpaueb_legalbert,0.0,0.08044327016442093,0.09605095311055174,0.07069203758887502,0.813512921333313,0.2314376097676965,0.09240422050158183,0.00033394223766739135
bm25,atharvamundada_bertlarge_legal,0.01875,0.19339341634938975,0.20020548159470467,0.19119995850522545,0.8388957381248474,0.43420817696605807,0.3069398894906044,0.338556921755233
whoosh,jasu_legalbert,0.0020833333333333333,0.004848885426338625,0.004590873122486698,0.004122590984308613,0.02760784700512886,0.044446293122018685,0.00147008349498113,-0.9633474311056754
whoosh,nlpaueb_legalbert,0.0,0.0026192435283866424,0.0026140375871636385,0.002321934080540043,0.027139222249388695,0.040107758076434644,0.0016418024897575378,-0.966664143912169
whoosh,atharvamundada_bertlarge_legal,0.0,0.005886698443765432,0.0057963099358945835,0.004781715468034015,0.02766217105090618,0.04578607873700093,0.005530750751495362,-0.9585301185958087
faiss,jasu_legalbert,0.016666666666666666,0.17396700921863573,0.17214463930554927,0.17724879989594786,0.833886444568634,0.40030877927298814,0.08666264961163203,0.19092612076789617
faiss,nlpaueb_legalbert,0.0,0.0820570542769442,0.09806143714908806,0.0760547544376015,0.8134426474571228,0.24740432514615046,0.08624409089485804,0.0023858965013270486
faiss,atharvamundada_bertlarge_legal,0.01875,0.20456428489129352,0.20782273812180804,0.20579497784375428,0.8410312533378601,0.44856203662153954,0.2830010990301768,0.3417967444600123
