retriever,Model,agreement_id,question,gold_answer,pred_answer,confidence,time
tfidf,jasu_legalbert,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,Agent,0.09790098667144775,0.12957525253295898
tfidf,nlpaueb_legalbert,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,serve them notices in,8.373816672246903e-05,0.11158061027526855
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,the owner or leaseholder of the flat,0.362692266702652,0.2822701930999756
tfidf,jasu_legalbert,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,TDS,0.2890634536743164,0.06474184989929199
tfidf,nlpaueb_legalbert,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,under an assured shorthold tenancy,3.723639019881375e-05,0.0647726058959961
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,Landlord,0.1342305988073349,0.26665449142456055
tfidf,jasu_legalbert,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,6 months,0.0926099419593811,0.08157658576965332
tfidf,nlpaueb_legalbert,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,Are you are entitled to Housing Benefit,0.00014004413969814777,0.08157849311828613
tfidf,atharvamundada_bertlarge_legal,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,6 or 12 months,0.3713376820087433,0.3034029006958008
tfidf,jasu_legalbert,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,more than one weeks rent,0.12499672919511795,0.1111750602722168
tfidf,nlpaueb_legalbert,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,rolls over on a weekly or monthly basis. These tenancies,0.00012758556113112718,0.1125478744506836
tfidf,atharvamundada_bertlarge_legal,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,every 5 years,0.48495209217071533,0.39948153495788574
tfidf,jasu_legalbert,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",you may get help with all or part of your rent,0.22557573020458221,0.10982942581176758
tfidf,nlpaueb_legalbert,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",rolls over on a weekly or monthly basis. These tenancies,0.00011898702359758317,0.11058521270751953
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",you may get help with all or part of your rent,0.4787510931491852,0.39769911766052246
tfidf,jasu_legalbert,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,TDS,0.8314180374145508,0.07424378395080566
tfidf,nlpaueb_legalbert,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,"-enactment, and any subordinate legislation. Page 11 of 13",2.124395359714981e-05,0.07401490211486816
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,TDS,0.8877914547920227,0.29355669021606445
tfidf,jasu_legalbert,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",Tenancy Deposit Scheme,0.3075754940509796,0.0643007755279541
tfidf,nlpaueb_legalbert,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",HP2 7TG Telephone 0300 037 1001 Email deposits,0.0001847432868089527,0.06504535675048828
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",Tenancy Deposit Scheme,0.490946888923645,0.24786591529846191
tfidf,jasu_legalbert,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",the rent being paid and the property remaining in good condition,0.04145507141947746,0.08656668663024902
tfidf,nlpaueb_legalbert,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",rolls over on a weekly or monthly basis. These tenancies,0.00011991259816568345,0.08507442474365234
tfidf,atharvamundada_bertlarge_legal,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",you may get help with all or part of your rent,0.06178068742156029,0.29284000396728516
tfidf,jasu_legalbert,Agreement_1,Is there a deadline for tenants moving in?,"Tenant are expected to move in within 4 weeks of the
start of the Tenancy Period.",48 hours,0.26886382699012756,0.10496902465820312
tfidf,nlpaueb_legalbert,Agreement_1,Is there a deadline for tenants moving in?,"Tenant are expected to move in within 4 weeks of the
start of the Tenancy Period.",Financial Conduct Authority. Length of tenancy,0.00012137330486439168,0.10522127151489258
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Is there a deadline for tenants moving in?,"Tenant are expected to move in within 4 weeks of the
start of the Tenancy Period.",rent is not lawfully due,0.06858876347541809,0.34926843643188477
tfidf,jasu_legalbert,Agreement_1,"On what standard does the landlord want the room to
be kept in?","In good repair and condition, unless I inform the
Landlord/Agent to the contrary in writing within 48 hours of moving-
in.",Stakeholder,0.20994527637958527,0.08443021774291992
tfidf,nlpaueb_legalbert,Agreement_1,"On what standard does the landlord want the room to
be kept in?","In good repair and condition, unless I inform the
Landlord/Agent to the contrary in writing within 48 hours of moving-
in.",misleading information nor made a false statement in order,0.0001028838159982115,0.08472466468811035
tfidf,atharvamundada_bertlarge_legal,Agreement_1,"On what standard does the landlord want the room to
be kept in?","In good repair and condition, unless I inform the
Landlord/Agent to the contrary in writing within 48 hours of moving-
in.",at least as good a condition,0.29696598649024963,0.289980411529541
tfidf,jasu_legalbert,Agreement_1,Should tenant personally do the repairs?,"No, they should report it to the agent as soon as possible.",Report any need for repairs to your landlord,0.08037455379962921,0.0833284854888916
tfidf,nlpaueb_legalbert,Agreement_1,Should tenant personally do the repairs?,"No, they should report it to the agent as soon as possible.",checking whether you need permission from your landlord. Things the tenant,7.962572999531403e-05,0.08959031105041504
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Should tenant personally do the repairs?,"No, they should report it to the agent as soon as possible.",Report any need for repairs to your landlord,0.06658311188220978,0.3523979187011719
tfidf,jasu_legalbert,Agreement_1,Who is responsible for the council tax?,"Tenant should make themselves aware of the local
authority’s criteria to qualify for council tax exemption as a full-time
student and they will inform the agent if they do not qualify for the
exemption.",HM Revenue and Customs,0.21875393390655518,0.0815279483795166
tfidf,nlpaueb_legalbert,Agreement_1,Who is responsible for the council tax?,"Tenant should make themselves aware of the local
authority’s criteria to qualify for council tax exemption as a full-time
student and they will inform the agent if they do not qualify for the
exemption.",serve them notices in,8.234074630308896e-05,0.08427238464355469
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Who is responsible for the council tax?,"Tenant should make themselves aware of the local
authority’s criteria to qualify for council tax exemption as a full-time
student and they will inform the agent if they do not qualify for the
exemption.",HM Revenue and Customs,0.46850278973579407,0.2814958095550537
tfidf,jasu_legalbert,Agreement_1,Is the tenant de facto entitled to a parking space?,"No, unless tenant has paid for a car park space via a
separate agreement, they will not park at the Building.",Are you are entitled to Housing Benefit,0.0046790833584964275,0.08801531791687012
tfidf,nlpaueb_legalbert,Agreement_1,Is the tenant de facto entitled to a parking space?,"No, unless tenant has paid for a car park space via a
separate agreement, they will not park at the Building.",rolls over on a weekly or monthly basis. These tenancies,0.00012795141083188355,0.08570718765258789
tfidf,atharvamundada_bertlarge_legal,Agreement_1,Is the tenant de facto entitled to a parking space?,"No, unless tenant has paid for a car park space via a
separate agreement, they will not park at the Building.",Housing Benefit or Universal Credit,0.3483676016330719,0.3429677486419678
tfidf,jasu_legalbert,Agreement_1,"When can landlord repossess property and terminate
the lease agreement?","a. (a) The Rent, or any part of it remains unpaid for 14
days after falling due, whether formally demanded or not;
(b) If any agreement or obligation of the Tenant is not complied with;
(c) If any of the grounds set out in Schedule 2 of the Housing Act 1988
(as amended) are made out.
The Landlord can only reenter property if they satisfied their statutory
obligations and tenancy shall end.
2
a. Tenancy can also be terminated early if tenant is given at least
2 months prior written notice if:
(a) The Room or Shared Area is destroyed or made
uninhabitable or inaccessible by fire or other event, and
reinstatement has not occurred within 2 months;
(b) tenant ceases to be a student in higher education;
(c) tenant is listed on the Office of Financial Sanctions
Implementation (OFSI) Sanctions List (or equivalent), or to be
subject to United Kingdom, United States, United Nations or
European Union financial or trade sanctions.",2 months prior written notice,0.3427567780017853,0.10349631309509277
tfidf,nlpaueb_legalbert,Agreement_1,"When can landlord repossess property and terminate
the lease agreement?","a. (a) The Rent, or any part of it remains unpaid for 14
days after falling due, whether formally demanded or not;
(b) If any agreement or obligation of the Tenant is not complied with;
(c) If any of the grounds set out in Schedule 2 of the Housing Act 1988
(as amended) are made out.
The Landlord can only reenter property if they satisfied their statutory
obligations and tenancy shall end.
2
a. Tenancy can also be terminated early if tenant is given at least
2 months prior written notice if:
(a) The Room or Shared Area is destroyed or made
uninhabitable or inaccessible by fire or other event, and
reinstatement has not occurred within 2 months;
(b) tenant ceases to be a student in higher education;
(c) tenant is listed on the Office of Financial Sanctions
Implementation (OFSI) Sanctions List (or equivalent), or to be
subject to United Kingdom, United States, United Nations or
European Union financial or trade sanctions.",out property. The governments How to lease,0.00011293874558759853,0.10290050506591797
tfidf,atharvamundada_bertlarge_legal,Agreement_1,"When can landlord repossess property and terminate
the lease agreement?","a. (a) The Rent, or any part of it remains unpaid for 14
days after falling due, whether formally demanded or not;
(b) If any agreement or obligation of the Tenant is not complied with;
(c) If any of the grounds set out in Schedule 2 of the Housing Act 1988
(as amended) are made out.
The Landlord can only reenter property if they satisfied their statutory
obligations and tenancy shall end.
2
a. Tenancy can also be terminated early if tenant is given at least
2 months prior written notice if:
(a) The Room or Shared Area is destroyed or made
uninhabitable or inaccessible by fire or other event, and
reinstatement has not occurred within 2 months;
(b) tenant ceases to be a student in higher education;
(c) tenant is listed on the Office of Financial Sanctions
Implementation (OFSI) Sanctions List (or equivalent), or to be
subject to United Kingdom, United States, United Nations or
European Union financial or trade sanctions.",If at any time,0.04893430694937706,0.3522312641143799
tfidf,jasu_legalbert,Agreement_1,"If the Landlord delays in enforcement of
covenants/obligations; how will that impact the guarantor?","Guarantors are obliged to cover the tenant’s full obligation
regardless of any delay from landlord.
3",not be reduced or released by any delay or concession,0.07275087386369705,0.08160734176635742
